pair_index,source,quantized_model,base_model,method,task,contains_disclosed_probe_cell,excluded_or_skipped,reason,n,correctness_column,baseline_accuracy,method_accuracy,net_accuracy_delta,harmful_flip_rate,beneficial_flip_rate,accuracy_state_churn,total_answer_churn,mcnemar_p,tost_equivalent,mdd_80_power,required_n_for_observed_delta_80_power,prompt_pass_rate,run_base_timestamp,run_quantized_timestamp,run_fallback_used
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_drop_3,False,True,no acc_norm or acc column in S1 rows (checked top level and the `metrics` struct); task has no binary correctness metric,,,,,,,,,,,,,,1.0,2023_11_06T19_41_58.229759,2023_11_07T07_11_46.594603,False
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_gsm8k_5,False,False,,1319,metrics.acc,0.10083396512509477,0.08946171341925702,-0.01137225170583775,0.043214556482183475,0.03184230477634572,0.07505686125852919,0.7695223654283548,0.15906965188123823,False,0.021123547197230565,4551,1.0,2023_11_06T19_41_58.229759,2023_11_07T07_11_46.594603,False
0,S1,TheBloke/wizard-mega-13B-GPTQ,openaccess-ai-collective/wizard-mega-13b,GPTQ,harness_winogrande_5,False,False,,1267,metrics.acc,0.7632202052091555,0.7474348855564326,-0.015785319652722896,0.042620363062352014,0.026835043409629045,0.06945540647198106,0.06945540647198106,0.04221061162240417,False,0.020713790564642804,2182,1.0,2023_11_06T19_41_58.229759,2023_11_07T07_11_46.594603,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_arc_challenge_25,False,False,,1168,acc_norm,0.5693493150684932,0.3022260273972603,-0.2671232876712329,0.3818493150684932,0.11472602739726027,0.4965753424657534,0.6772260273972602,4.023444395917385e-40,False,0.053478042483633144,47,1.0,2023_08_16T13_35_32.670682,2023_08_22T13_46_10.418493,True
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_gsm8k_5,False,True,no shared join keys between 1319 base and 1319 quantized keyed rows (disjoint item sets),,,,,,,,,,,,,,0.0,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hellaswag_10,False,False,,9997,acc_norm,0.7962388716614984,0.2599779933980194,-0.536260878263479,0.5794738421526457,0.04321296388916675,0.6226868060418126,0.48834650395118534,0.0,False,0.016221279408877368,10,1.0,2023_08_16T13_35_32.670682,2023_08_22T13_46_10.418493,True
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_5,False,True,no parquet found for task harness_hendrycksTest_5 in runs ['2023_10_18T04_27_15.231240'],,,,,,,,,,,,,,,2023_10_18T04_27_15.231240,2023_12_04T11_27_39.056243,False
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_abstract_algebra_5,False,False,,100,acc_norm,0.27,0.26,-0.010000000000000009,0.07,0.06,0.13,0.34,1.0,False,0.10148242010726656,10299,1.0,2023_08_16T13_35_32.670682,2023_08_22T13_46_10.418493,True
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_anatomy_5,False,False,,135,acc_norm,0.48148148148148145,0.26666666666666666,-0.2148148148148148,0.32592592592592595,0.1111111111111111,0.43703703703703706,0.674074074074074,0.00020372185740785698,False,0.15131417872767117,67,1.0,2023_08_16T13_35_32.670682,2023_08_22T13_46_10.418493,True
1,S1,TheBloke/orca_mini_v3_7B-GPTQ,psmathur/orca_mini_v3_7b,GPTQ,harness_hendrycksTest_astronomy_5,False,False,,152,acc_norm,0.506578947368421,0.17105263157894737,-0.3355263157894737,0.42105263157894735,0.08552631578947369,0.506578947368421,0.7894736842105263,3.0236347515742237e-09,False,0.14310804440997524,28,1.0,2023_08_16T13_35_32.670682,2023_08_22T13_46_10.418493,True
